state_county, latitude , longitude 
California_Merced, 37.29500 ,-120.62444 
California_Modoc, 41.54857 ,-120.46286 
California_Mono, 38.10000 ,-119.12167 
California_Monterey, 36.51083 ,-121.56833 
California_Napa, 38.48111 ,-122.37778 
California_Nevada, 39.25429 ,-120.93571 
California_Orange, 33.72393 ,-117.83899 
California_Placer, 38.90667 ,-121.10056 
California_Plumas, 39.97000 ,-120.75083 
California_Riverside, 33.77868 ,-116.94647 
California_Sacramento, 38.54830 ,-121.38981 
California_San Benito, 36.75500 ,-121.25000 
California_San Bernardino, 34.33934 ,-116.95066 
California_San Diego, 32.89545 ,-117.02901 
California_San Francisco, 37.75931 ,-122.42310 
California_San Joaquin, 37.93407 ,-121.27926 
California_San Luis Obispo, 35.37857 ,-120.66810 
California_San Mateo, 37.49593 ,-122.32519 
California_Santa Barbara, 34.59579 ,-120.02474 
California_Santa Clara, 37.31224 ,-121.91276 
California_Santa Cruz, 37.02714 ,-121.99357 
California_Shasta, 40.69455 ,-122.10773 
California_Sierra, 39.55667 ,-120.59667 
California_Siskiyou, 41.58857 ,-122.61667 
California_Solano, 38.20929 ,-122.02786 
California_Sonoma, 38.44455 ,-122.84848 
California_Stanislaus, 37.61391 ,-120.94783 
California_Sutter, 39.00889 ,-121.68222 
California_Tehama, 40.16556 ,-122.11556 
California_Trinity, 40.67444 ,-123.14333 
California_Tulare, 36.25120 ,-119.08680 
California_Tuolumne, 38.05909 ,-120.14273 
California_Ventura, 34.25917 ,-119.01667 
California_Yolo, 38.63833 ,-121.84667 
California_Yuba, 39.26727 ,-121.32727 
Colorado_Adams, 39.80667 ,-104.82278 
Colorado_Alamosa, 37.61667 ,-105.87333 
Colorado_Arapahoe, 39.67739 ,-104.80087 
Colorado_Archuleta, 37.22500 ,-107.18500 
Colorado_Baca, 37.36200 ,-102.54000 
Colorado_Bent, 38.12333 ,-103.04000 
Colorado_Boulder, 40.06786 ,-105.27714 
Colorado_Broomfield, 39.95000 ,-105.04000 
Colorado_Chaffee, 38.69667 ,-106.07333 
Colorado_Cheyenne, 38.80667 ,-102.43667 
Colorado_Clear Creek, 39.74000 ,-105.51000 
Colorado_Conejos, 37.17000 ,-105.98500 
Colorado_Costilla, 37.26200 ,-105.55800 
Colorado_Crowley, 38.20333 ,-103.78333 
Colorado_Custer, 38.18000 ,-105.27000 
Colorado_Delta, 38.81833 ,-107.86167 
Colorado_Denver, 39.75469 ,-104.87438 
Colorado_Dolores, 37.70500 ,-108.86000 
Colorado_Douglas, 39.45692 ,-104.89923 
Colorado_Eagle, 39.68000 ,-106.72833 
Colorado_El Paso, 38.88585 ,-104.72146 
Colorado_Elbert, 39.28333 ,-104.26667 
Colorado_Fremont, 38.41400 ,-105.37400 
Colorado_Garfield, 39.49333 ,-107.75667 
Colorado_Gilpin, 39.86000 ,-105.49500 
Colorado_Grand, 40.10750 ,-106.07500 
Colorado_Gunnison, 38.58000 ,-106.99556 
Colorado_Hinsdale, 38.07000 ,-107.30000 
Colorado_Huerfano, 37.63667 ,-104.98000 
Colorado_Jackson, 40.65000 ,-106.35500 
Colorado_Jefferson, 39.72591 ,-105.06636 
Colorado_Kiowa, 38.43000 ,-102.88750 
Colorado_Kit Carson, 39.29667 ,-102.65833 
Colorado_La Plata, 37.20600 ,-107.80200 
Colorado_Lake, 39.13000 ,-106.34333 
Colorado_Larimer, 40.54467 ,-105.16533 
Colorado_Las Animas, 37.19000 ,-104.24000 
Colorado_Lincoln, 39.08500 ,-103.58500 
Colorado_Logan, 40.70750 ,-103.09875 
Colorado_Mesa, 39.07438 ,-108.55375 
Colorado_Mineral, 37.85000 ,-106.92000 
Colorado_Moffat, 40.48000 ,-108.10000 
Colorado_Montezuma, 37.46167 ,-108.58333 
Colorado_Montrose, 38.38250 ,-108.22000 
Colorado_Morgan, 40.29125 ,-103.81250 
Colorado_Otero, 38.06000 ,-103.78500 
Colorado_Ouray, 38.15000 ,-107.75000 
Colorado_Park, 39.12500 ,-105.66000 
Colorado_Phillips, 40.63333 ,-102.36333 
Colorado_Pitkin, 39.29500 ,-106.90000 
Colorado_Prowers, 38.08500 ,-102.43750 
Colorado_Pueblo, 38.21545 ,-104.62273 
Colorado_Rio Blanco, 40.06500 ,-108.33000 
Colorado_Rio Grande, 37.63667 ,-106.37667 
Colorado_Routt, 40.39800 ,-106.95000 
Colorado_Saguache, 38.02000 ,-106.02500 
Colorado_San Miguel, 37.93000 ,-108.41500 
Colorado_Sedgwick, 40.95333 ,-102.38667 
Colorado_Summit, 39.59000 ,-106.05000 
Colorado_Teller, 38.90500 ,-105.16750 
Colorado_Washington, 39.90500 ,-103.20333 
Colorado_Weld, 40.39000 ,-104.66069 
Colorado_Yuma, 39.88571 ,-102.46857 
Connecticut_Fairfield, 41.19388 ,-73.37878 
Connecticut_Hartford, 41.79100 ,-72.74333 
Connecticut_Litchfield, 41.76270 ,-73.23676 
Connecticut_Middlesex, 41.43450 ,-72.52200 
Connecticut_New Haven, 41.40049 ,-72.94756 
Connecticut_New London, 41.46481 ,-72.09000 
Connecticut_Tolland, 41.80857 ,-72.33143 
Connecticut_Windham, 41.81292 ,-71.99250 
Delaware_Kent, 39.09333 ,-75.56267 
Delaware_New Castle, 39.69043 ,-75.61261 
Delaware_Sussex, 38.64000 ,-75.32864 
District of Columbia_District of Columbia, 38.88935 ,-77.02871 
Florida_Alachua, 29.67438 ,-82.35750 
Florida_Baker, 30.26667 ,-82.18333 
Florida_Bay, 30.22091 ,-85.64727 
Florida_Bradford, 29.93000 ,-82.16000 
Florida_Brevard, 28.20643 ,-80.65571 
Florida_Broward, 26.13800 ,-80.14818 
Florida_Calhoun, 30.42500 ,-85.14500 
Florida_Charlotte, 26.92846 ,-82.12615 
Florida_Citrus, 28.87154 ,-82.45538 
Florida_Clay, 30.04833 ,-81.78333 
Florida_Collier, 26.14438 ,-81.76313 
Florida_Columbia, 30.11800 ,-82.62400 
Florida_Desoto, 27.21000 ,-81.85000 
Florida_Dixie, 29.55333 ,-83.12667 
Florida_Duval, 30.32971 ,-81.62114 
Florida_Escambia, 30.53200 ,-87.22400 
Florida_Flagler, 29.49800 ,-81.19200 
Florida_Franklin, 29.77000 ,-84.84000 
Florida_Gadsden, 30.60667 ,-84.60500 
Florida_Gilchrist, 29.68000 ,-82.83500 
Florida_Glades, 26.83000 ,-81.09000 
Florida_Gulf, 29.97000 ,-85.21500 
Florida_Hamilton, 30.48000 ,-82.93333 
Florida_Hardee, 27.53750 ,-81.83250 
Florida_Hendry, 26.69500 ,-81.13500 
Florida_Hernando, 28.50556 ,-82.45000 
Florida_Highlands, 27.40000 ,-81.39875 
Florida_Hillsborough, 27.94558 ,-82.39750 
Florida_Holmes, 30.77000 ,-85.76000 
Florida_Indian River, 27.67250 ,-80.42625 
Florida_Jackson, 30.82545 ,-85.22545 
Florida_Jefferson, 30.45500 ,-83.84000 
Florida_Lafayette, 30.05000 ,-83.17000 
Florida_Lake, 28.77087 ,-81.74478 
Florida_Lee, 26.58273 ,-81.84667 
Florida_Leon, 30.43600 ,-84.26400 
Florida_Levy, 29.25000 ,-82.68857 
Florida_Liberty, 30.40000 ,-84.88000 
Florida_Madison, 30.48000 ,-83.42250 
Florida_Manatee, 27.47176 ,-82.54529 
Florida_Marion, 29.16435 ,-82.09043 
Florida_Martin, 27.15143 ,-80.25714 
Florida_Miami-Dade, 25.76154 ,-80.24026 
Florida_Monroe, 24.93750 ,-81.06750 
Florida_Nassau, 30.58200 ,-81.73800 
Florida_Okaloosa, 30.56857 ,-86.57786 
Florida_Okeechobee, 27.24000 ,-80.82000 
Florida_Orange, 28.52512 ,-81.38791 
Florida_Osceola, 28.24000 ,-81.32455 
Florida_Palm Beach, 26.62370 ,-80.15852 
Florida_Pasco, 28.27773 ,-82.45818 
Florida_Pinellas, 27.88532 ,-82.71979 
Florida_Polk, 28.00625 ,-81.75531 
Florida_Putnam, 29.57167 ,-81.73000 
Florida_Santa Rosa, 30.60143 ,-87.07000 
Florida_Sarasota, 27.21625 ,-82.44583 
Florida_Seminole, 28.69692 ,-81.28538 
Florida_St Johns, 29.92400 ,-81.37900 
Florida_St Lucie, 27.36714 ,-80.33286 
Florida_Sumter, 28.78333 ,-82.02667 
Florida_Suwannee, 30.15500 ,-82.92833 
Florida_Taylor, 29.93750 ,-83.49000 
Florida_Union, 30.04000 ,-82.28000 
Florida_Volusia, 29.07308 ,-81.12423 
Florida_Wakulla, 30.08333 ,-84.41000 
Florida_Walton, 30.57667 ,-86.16167 
Florida_Washington, 30.64750 ,-85.73250 
