State Name,AQI,Date
Nebraska,106,2015-03-01
Nebraska,122,2015-04-01
Nebraska,87,2015-05-01
Nebraska,108,2015-06-01
Nebraska,92,2015-07-01
Nebraska,79,2015-08-01
Nebraska,100,2015-09-01
Nebraska,77,2015-10-01
Nebraska,75,2015-11-01
Nebraska,71,2015-12-01
Nevada,92,2015-01-01
Nevada,118,2015-02-01
Nevada,80,2015-03-01
Nevada,165,2015-04-01
Nevada,100,2015-05-01
Nevada,169,2015-06-01
Nevada,119,2015-07-01
Nevada,133,2015-08-01
Nevada,171,2015-09-01
Nevada,77,2015-10-01
Nevada,86,2015-11-01
Nevada,112,2015-12-01
New Hampshire,154,2015-01-01
New Hampshire,87,2015-02-01
New Hampshire,70,2015-03-01
New Hampshire,87,2015-04-01
New Hampshire,140,2015-05-01
New Hampshire,108,2015-06-01
New Hampshire,87,2015-07-01
New Hampshire,87,2015-08-01
New Hampshire,129,2015-09-01
New Hampshire,101,2015-10-01
New Hampshire,74,2015-11-01
New Hampshire,81,2015-12-01
New Jersey,89,2015-01-01
New Jersey,111,2015-02-01
New Jersey,107,2015-03-01
New Jersey,87,2015-04-01
New Jersey,136,2015-05-01
New Jersey,161,2015-06-01
New Jersey,143,2015-07-01
New Jersey,136,2015-08-01
New Jersey,166,2015-09-01
New Jersey,66,2015-10-01
New Jersey,95,2015-11-01
New Jersey,106,2015-12-01
New Mexico,77,2015-01-01
New Mexico,98,2015-02-01
New Mexico,77,2015-03-01
New Mexico,157,2015-04-01
New Mexico,100,2015-05-01
New Mexico,126,2015-06-01
New Mexico,140,2015-07-01
New Mexico,122,2015-08-01
New Mexico,100,2015-09-01
New Mexico,157,2015-10-01
New Mexico,124,2015-11-01
New Mexico,79,2015-12-01
New York,79,2015-01-01
New York,84,2015-02-01
New York,105,2015-03-01
New York,84,2015-04-01
New York,140,2015-05-01
New York,147,2015-06-01
New York,129,2015-07-01
New York,129,2015-08-01
New York,150,2015-09-01
New York,63,2015-10-01
New York,79,2015-11-01
New York,87,2015-12-01
North Carolina,96,2015-01-01
North Carolina,82,2015-02-01
North Carolina,71,2015-03-01
North Carolina,97,2015-04-01
North Carolina,105,2015-05-01
North Carolina,126,2015-06-01
North Carolina,112,2015-07-01
North Carolina,129,2015-08-01
North Carolina,112,2015-09-01
North Carolina,83,2015-10-01
North Carolina,71,2015-11-01
North Carolina,73,2015-12-01
North Dakota,75,2015-01-01
North Dakota,138,2015-02-01
North Dakota,74,2015-03-01
North Dakota,85,2015-04-01
North Dakota,136,2015-05-01
North Dakota,176,2015-06-01
North Dakota,171,2015-07-01
North Dakota,179,2015-08-01
North Dakota,58,2015-09-01
North Dakota,72,2015-10-01
North Dakota,148,2015-11-01
North Dakota,63,2015-12-01
Ohio,103,2015-01-01
Ohio,119,2015-02-01
Ohio,113,2015-03-01
Ohio,141,2015-04-01
Ohio,143,2015-05-01
Ohio,133,2015-06-01
Ohio,156,2015-07-01
Ohio,113,2015-08-01
Ohio,112,2015-09-01
Ohio,75,2015-10-01
Ohio,100,2015-11-01
Ohio,117,2015-12-01
Oklahoma,87,2015-01-01
Oklahoma,85,2015-02-01
Oklahoma,84,2015-03-01
Oklahoma,115,2015-04-01
Oklahoma,108,2015-05-01
Oklahoma,100,2015-06-01
Oklahoma,96,2015-07-01
Oklahoma,147,2015-08-01
Oklahoma,152,2015-09-01
Oklahoma,119,2015-10-01
Oklahoma,80,2015-11-01
Oklahoma,58,2015-12-01
Oregon,155,2015-01-01
Oregon,117,2015-02-01
Oregon,85,2015-03-01
Oregon,62,2015-04-01
Oregon,80,2015-05-01
Oregon,108,2015-06-01
Oregon,164,2015-07-01
Oregon,284,2015-08-01
Oregon,87,2015-09-01
Oregon,79,2015-10-01
Oregon,151,2015-11-01
Oregon,104,2015-12-01
Pennsylvania,108,2015-01-01
Pennsylvania,119,2015-02-01
Pennsylvania,140,2015-03-01
Pennsylvania,107,2015-04-01
Pennsylvania,175,2015-05-01
Pennsylvania,166,2015-06-01
Pennsylvania,152,2015-07-01
Pennsylvania,143,2015-08-01
Pennsylvania,151,2015-09-01
Pennsylvania,145,2015-10-01
Pennsylvania,126,2015-11-01
Pennsylvania,155,2015-12-01
Puerto Rico,117,2015-01-01
Puerto Rico,61,2015-02-01
Puerto Rico,196,2015-03-01
Puerto Rico,90,2015-04-01
Puerto Rico,90,2015-05-01
Puerto Rico,72,2015-06-01
Puerto Rico,75,2015-07-01
Puerto Rico,65,2015-08-01
Puerto Rico,146,2015-09-01
Puerto Rico,108,2015-10-01
Puerto Rico,156,2015-11-01
Puerto Rico,100,2015-12-01
Rhode Island,65,2015-01-01
Rhode Island,74,2015-02-01
Rhode Island,170,2015-03-01
Rhode Island,77,2015-04-01
Rhode Island,100,2015-05-01
Rhode Island,166,2015-06-01
Rhode Island,122,2015-07-01
Rhode Island,126,2015-08-01
Rhode Island,115,2015-09-01
Rhode Island,64,2015-10-01
Rhode Island,60,2015-11-01
Rhode Island,74,2015-12-01
South Carolina,114,2015-01-01
South Carolina,62,2015-02-01
South Carolina,64,2015-03-01
South Carolina,102,2015-04-01
South Carolina,112,2015-05-01
South Carolina,90,2015-06-01
South Carolina,93,2015-07-01
South Carolina,105,2015-08-01
South Carolina,100,2015-09-01
South Carolina,72,2015-10-01
South Carolina,74,2015-11-01
South Carolina,64,2015-12-01
South Dakota,65,2015-01-01
South Dakota,82,2015-02-01
South Dakota,105,2015-03-01
South Dakota,118,2015-04-01
South Dakota,122,2015-05-01
South Dakota,108,2015-06-01
South Dakota,152,2015-07-01
South Dakota,120,2015-08-01
South Dakota,71,2015-09-01
